Показатели;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
Объем платных услуг населению;25424.0;34325.0;45427.0;59692.0;75725.0;96393.0;127399.0;143225.0;143714.0;160604.0;178964.0;196575.0;218848.0;231570.0;240019.0;249900.3;261351.3;271720.0;221945.0;;;;;;
Объем платных услуг населению прогноз;;;;;;;;;;;;;;;;250524,6406;245524,1875;251530,6094;250586,1562;255165,75;236210,4688;278580,2188;288523,6562;317257,6875;222554,0781
Оборот розничной торговли;82047.6;103785.0;133567.6;177376.8;239124.0;323420.5;428899.6;458949.2;512128.9;577987.3;633942.7;721818.1;781337.8;784663.1;803226.1;841128.4;879483.7;931528.8999999997;912651.2899999997;;;;;;
Оборот розничной торговли прогноз;;;;;;;;;;;;;;;;838574,625;886531,9375;914175,3125;916456,375;934327,8125;872205,3125;831561,6875;860350,625;1076791,5;857019,0625
Собственные средства;20823.7;25708.699999999997;27971.699999999997;32445.0;35938.9;51443.5;62561.2;39626.799999999996;43664.7;59610.299999999996;71871.2;84409.65;91456.76999999999;106833.68699999999;107383.27799999999;104875.1;103845.1;113541.5;117608.345;;;;;;
Собственные средства прогноз;;;;;;;;;;;;;;;;103321,2578;107257,8047;111918,9297;116434,9922;123340,8359;121755,1016;185850,1719;173304,6094;181119,3594;126438,5547
Привлеченные средства;20301.8;18867.899999999998;20335.3;31408.6;43310.9;60905.0;67762.59999999999;49545.6;41800.9;44106.1;62320.7;65247.47;72333.8;85859.59999999999;117603.1;74348.6;70266.7;95617.09999999999;97627.04;;;;;;
Привлеченные средства прогноз;;;;;;;;;;;;;;;;73930,1719;81661,6797;89138,3516;94819,0234;107205,4531;105127,0703;80592,125;78734,9062;111862,0;89101,9531
Номинальная начисленная среднемесячная заработная плата работников организаций;3717.9;4449.4;5389.4;6612.0;8632.3;11027.1;14084.1;14951.0;16377.7;18397.0;20264.7;22377.4;24987.6;25927.5;28107.9;30357.7;33752.8;36464.6;38738.1;;;;;;
Номинальная начисленная среднемесячная заработная плата работников организаций прогноз;;;;;;;;;;;;;;;;29786,2422;35363,1367;37011,9414;37137,7734;38635,6211;37328,5898;31046,7715;38059,875;54871,8398;32401,543
