Показатели;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
Объем платных услуг населению;25424.0;34325.0;45427.0;59692.0;75725.0;96393.0;127399.0;143225.0;143714.0;160604.0;178964.0;196575.0;218848.0;231570.0;240019.0;249900.3;261351.3;271720.0;221945.0;;;;;;
Объем платных услуг населению прогноз;;;;;;;;;;;;;;;;254482,0469;262443,125;255562,5625;233806,1562;195655,2188;388772,7812;481281,7188;344513,5625;223050,9375;549019,9375
Оборот розничной торговли;82047.6;103785.0;133567.6;177376.8;239124.0;323420.5;428899.6;458949.2;512128.9;577987.3;633942.7;721818.1;781337.8;784663.1;803226.1;841128.4;879483.7;931528.8999999997;912651.2899999997;;;;;;
Оборот розничной торговли прогноз;;;;;;;;;;;;;;;;821112,8125;882213,5;914897,375;930235,25;941079,8125;933490,8125;1022187,875;1070276,5;1103733,5;1120643,0
Собственные средства;20823.7;25708.699999999997;27971.699999999997;32445.0;35938.9;51443.5;62561.2;39626.799999999996;43664.7;59610.299999999996;71871.2;84409.65;91456.76999999999;106833.68699999999;107383.27799999999;104875.1;103845.1;113541.5;117608.345;;;;;;
Собственные средства прогноз;;;;;;;;;;;;;;;;104912,9609;106578,4453;111196,0234;123860,5;204311,4844;231879,8438;278328,0938;280726,875;270119,6562;258344,3594
Привлеченные средства;20301.8;18867.899999999998;20335.3;31408.6;43310.9;60905.0;67762.59999999999;49545.6;41800.9;44106.1;62320.7;65247.47;72333.8;85859.59999999999;117603.1;74348.6;70266.7;95617.09999999999;97627.04;;;;;;
Привлеченные средства прогноз;;;;;;;;;;;;;;;;74896,5703;76154,7266;87098,4062;100847,9531;111759,0781;119950,9688;124039,3672;193975,9219;159309,0;123612,0938
Номинальная начисленная среднемесячная заработная плата работников организаций;3717.9;4449.4;5389.4;6612.0;8632.3;11027.1;14084.1;14951.0;16377.7;18397.0;20264.7;22377.4;24987.6;25927.5;28107.9;30357.7;33752.8;36464.6;38738.1;;;;;;
Номинальная начисленная среднемесячная заработная плата работников организаций прогноз;;;;;;;;;;;;;;;;30385,0742;33524,0078;36200,2773;38805,6562;41731,6602;45246,0312;48317,8359;53036,168;56930,0938;61268,3789
